,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
640,168010.0,2017-07-07T10:43:00,Illegal Dumping,Control Panel,1,DOMI - Permits,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0243669804322,40.49169732924771,APPROXIMATE
641,156477.0,2017-05-24T14:44:00,Public Right of Way,Call Center,1,DPW - Street Maintenance,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0336424,40.4678008,EXACT
642,171117.0,2017-07-18T14:34:00,Early Set Out,Control Panel,1,DPW - Refuse,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0130989208983,40.486183843147295,APPROXIMATE
643,108554.0,2016-10-04T11:24:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.01570219999999,40.389188700000005,EXACT
644,152000.0,2017-05-09T12:10:00,Potholes,Call Center,1,DPW - Street Maintenance,Lincoln Place,5.0,31.0,42003310200.0,3.0,31.0,4.0,4-20,-79.9117,40.367694,EXACT
645,147247.0,2017-04-21T14:23:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191900.0,5.0,19.0,6.0,4-26,-80.01737329629509,40.3925284437618,EXACT
646,170122.0,2017-07-14T13:44:00,Litter,Call Center,1,DPW - Street Maintenance,Mount Washington,2.0,19.0,42003191400.0,5.0,19.0,3.0,4-27,-80.0124645908768,40.4243663120379,EXACT
647,172185.0,2017-07-21T10:07:00,Replace/Repair a Sign,Control Panel,1,DOMI - TrafficShop,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-24,-79.9778882,40.425893,EXACT
648,112462.0,2016-10-24T11:27:00,Root prune ,Call Center,1,DPW - Forestry Division,Greenfield,5.0,15.0,42003151700.0,3.0,15.0,4.0,2-15,-79.93182392643091,40.4251622481968,APPROXIMATE
649,15044.0,2015-07-23T09:42:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Upper Lawrenceville,7.0,10.0,42003101100.0,2.0,10.0,2.0,3-5,-79.9532849,40.480607899999995,EXACT
650,172234.0,2017-07-21T11:11:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.0274747,40.4116521,EXACT
651,171451.0,2017-07-19T11:16:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Spring Garden,1.0,26.0,42003428200.0,1.0,26.0,1.0,1-11,-79.9934883,40.4772739,EXACT
652,172296.0,2017-07-21T12:45:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Lower Lawrenceville,7.0,6.0,42003060300.0,2.0,6.0,2.0,3-3,-79.96555009999999,40.466790695682604,EXACT
653,171852.0,2017-07-20T11:20:00,Barricades,Call Center,1,DPW - Street Maintenance,Garfield,9.0,11.0,42003111400.0,2.0,11.0,5.0,3-4,-79.9354809,40.4662588,EXACT
654,171714.0,2017-07-20T08:11:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.983102338623,40.397821,EXACT
655,171286.0,2017-07-19T08:01:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Homewood North,9.0,13.0,42003130200.0,2.0,13.0,5.0,3-17,-79.8938343,40.4576723,EXACT
656,141548.0,2017-03-28T08:41:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.0159859,40.3864526,EXACT
657,171701.0,2017-07-20T07:41:00,Dead Animal,Call Center,1,Animal Care & Control,Allentown,3.0,18.0,42003180300.0,5.0,18.0,3.0,4-6,-79.9916359,40.418663200000005,EXACT
658,172025.0,2017-07-20T16:13:00,Utility Cut - PWSA,Call Center,1,Pittsburgh Water and Sewer Authority,Central Oakland,3.0,4.0,42003040600.0,3.0,4.0,4.0,2-11,-79.95234140000001,40.439674,EXACT
659,153638.0,2017-05-15T13:43:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.0117932,40.4070832,EXACT
660,151841.0,2017-05-09T07:30:00,Potholes,Call Center,1,DPW - Street Maintenance,Mount Washington,3.0,18.0,42003180700.0,5.0,18.0,3.0,4-5,-80.0007334,40.4269124,EXACT
661,170349.0,2017-07-17T08:28:00,Litter,Call Center,1,DPW - Street Maintenance,Shadyside,8.0,7.0,42003070900.0,2.0,7.0,4.0,3-22,-79.935834,40.4559841,EXACT
662,169708.0,2017-07-13T11:25:00,Manhole Cover ,Call Center,1,DOMI - Permits,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-24,-79.9882746,40.428859,EXACT
663,156999.0,2017-05-26T11:43:00,Tree Removal,Call Center,1,DPW - Forestry Division,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.020767,40.490573,EXACT
664,169236.0,2017-07-12T07:17:00,Request New Sign,Call Center,1,DOMI - Traffic,Polish Hill,6.0,5.0,42003060500.0,3.0,5.0,4.0,2-24,-79.95734909999999,40.458689,EXACT
665,170321.0,2017-07-17T07:59:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.027428,40.49236,EXACT
666,121879.0,2016-12-19T15:53:00,Snow/Ice removal,Call Center,1,DPW - Street Maintenance,Carrick,4.0,32.0,42003320400.0,3.0,32.0,3.0,4-23,-79.9962957,40.394474100000004,EXACT
667,170361.0,2017-07-17T08:37:00,Tree Issues,Call Center,1,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.0395443196479,40.47699149314511,APPROXIMATE
668,163554.0,2017-06-20T12:57:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.0349969136703,40.4783156014332,APPROXIMATE
669,167229.0,2017-07-05T11:06:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.01278595280449,40.4859794111109,APPROXIMATE
670,155969.0,2017-05-23T12:11:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.01227220000001,40.3886466,EXACT
671,157785.0,2017-05-31T09:16:00,Potholes,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,29.0,42003290100.0,5.0,29.0,3.0,4-23,-79.99460859999999,40.3929006,EXACT
672,168919.0,2017-07-11T08:43:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,West Oakland,6.0,4.0,42003040200.0,3.0,4.0,4.0,2-10,-79.96646319999999,40.4416546,EXACT
673,170513.0,2017-07-17T10:59:00,Rodent control,Control Panel,1,Animal Care & Control,Central Northside,6.0,25.0,42003250300.0,1.0,25.0,1.0,1-21,-80.0118088134835,40.4586516496395,APPROXIMATE
674,164878.0,2017-06-26T09:57:00,Potholes,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.9840051,40.3912759,EXACT
675,153881.0,2017-05-16T09:45:00,Potholes,Call Center,1,DPW - Street Maintenance,South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.9681978,40.4202343,EXACT
676,144888.0,2017-04-12T09:07:00,Potholes,Call Center,1,DPW - Street Maintenance,Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-6,-79.9906222,40.4158458,EXACT
677,161935.0,2017-06-14T12:51:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.02628829999999,40.470636999999996,EXACT
678,150927.0,2017-05-04T15:38:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Spring Hill-City View,1.0,26.0,42003262000.0,1.0,26.0,1.0,1-11,-79.99709179999999,40.471009499999994,EXACT
679,166071.0,2017-06-29T11:18:00,Sewers,Call Center,1,Pittsburgh Water and Sewer Authority,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.047914,40.485031899999996,EXACT
680,68409.0,2016-05-11T14:06:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Shadyside,8.0,7.0,42003070500.0,2.0,7.0,4.0,3-11,-79.92920791421442,40.45743409159721,APPROXIMATE
681,169727.0,2017-07-13T12:14:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Lincoln-Lemington-Belmar,9.0,12.0,42003120300.0,2.0,12.0,5.0,3-15,-79.9018733,40.4713023,EXACT
682,168440.0,2017-07-10T09:24:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-13,-79.939049,40.4030985,EXACT
683,60004.0,2016-04-07T18:20:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Brighton Heights,1.0,27.0,42003270800.0,1.0,27.0,1.0,1-14,-80.0302141,40.4834657,EXACT
684,52429.0,2016-03-02T11:27:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.0146378,40.4002504,EXACT
685,88302.0,2016-07-15T11:00:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-24,-79.986553,40.427265999999996,EXACT
686,92881.0,2016-08-01T15:51:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Homewood South,9.0,13.0,42003130400.0,2.0,13.0,5.0,3-17,-79.8886274,40.452607799999996,EXACT
687,30829.0,2015-11-04T14:14:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Garfield,9.0,10.0,42003101600.0,2.0,10.0,5.0,3-4,-79.9379041,40.4691996,EXACT
688,169730.0,2017-07-13T12:18:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.9830194288361,40.467161509538,EXACT
689,157904.0,2017-05-31T11:17:00,Request New Sign,Control Panel,1,DOMI - Traffic,Central Northside,6.0,25.0,42003250300.0,1.0,25.0,1.0,1-21,-80.01220959999999,40.4574098,EXACT
690,169253.0,2017-07-12T08:22:00,Dead Animal,Call Center,1,Animal Care & Control,Beechview,2.0,20.0,42003191600.0,5.0,20.0,6.0,4-9,-80.0319387,40.4093936,EXACT
691,165121.0,2017-06-26T15:50:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Larimer,9.0,12.0,42003120400.0,2.0,12.0,5.0,3-12,-79.90883052152199,40.4634239952283,APPROXIMATE
692,164996.0,2017-06-26T12:50:00,Replace/Repair a Sign,Control Panel,1,DOMI - TrafficShop,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.9850339,40.4612909,EXACT
693,168563.0,2017-07-10T11:32:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Bloomfield,7.0,8.0,42003080600.0,2.0,8.0,5.0,3-23,-79.93896140000001,40.4620092,EXACT
694,168574.0,2017-07-10T11:41:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Mount Washington,2.0,19.0,42003190300.0,5.0,19.0,3.0,4-1,-80.012928,40.43533729999999,EXACT
695,99274.0,2016-08-24T10:47:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Carrick,4.0,29.0,42003290400.0,3.0,29.0,3.0,4-12,-79.9838135,40.3873437,EXACT
696,165469.0,2017-06-27T13:29:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Shadyside,8.0,7.0,42003070500.0,2.0,7.0,4.0,3-11,-79.9308644,40.4536955,EXACT
697,168844.0,2017-07-10T18:23:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Brookline,4.0,32.0,42003191800.0,5.0,32.0,6.0,4-25,-80.0093883,40.3843221,EXACT
698,168395.0,2017-07-10T08:25:00,"Catch Basin, Clogged",Call Center,1,Pittsburgh Water and Sewer Authority,Hays,5.0,31.0,42003562900.0,3.0,31.0,4.0,4-20,-79.93453290000001,40.3792925,EXACT
699,122778.0,2016-12-27T15:41:00,Litter,Twitter,1,DPW - Street Maintenance,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0272522,40.4775015,EXACT
700,167869.0,2017-07-06T18:46:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-13,-79.9362332,40.4119629,EXACT
701,167870.0,2017-07-06T18:54:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Squirrel Hill North,8.0,14.0,42003140200.0,3.0,14.0,4.0,2-17,-79.92866059999999,40.4450503,EXACT
702,167863.0,2017-07-06T18:12:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Highland Park,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.920057,40.487827200000005,EXACT
703,144187.0,2017-04-10T09:37:00,Potholes,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290100.0,3.0,29.0,3.0,4-23,-79.9967692,40.398921,EXACT
704,147114.0,2017-04-21T10:24:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Lincoln-Lemington-Belmar,9.0,12.0,42003120300.0,2.0,12.0,5.0,3-15,-79.89836509999999,40.4670575,EXACT
705,29738.0,2015-10-28T15:40:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Overbrook,4.0,32.0,42003320700.0,5.0,32.0,3.0,4-25,-79.9999379,40.381135,EXACT
706,147618.0,2017-04-24T11:54:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.9940181114692,40.46331187406339,APPROXIMATE
707,166945.0,2017-07-03T13:05:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Mount Washington,2.0,19.0,42003190300.0,5.0,19.0,3.0,4-27,-80.0115137,40.4333251,EXACT
708,166606.0,2017-06-30T16:03:00,Public Right of Way,Call Center,1,DPW - Street Maintenance,Brookline,4.0,32.0,42003479000.0,5.0,32.0,6.0,4-25,-80.0082296342545,40.3809744365226,EXACT
709,151094.0,2017-05-05T10:39:00,Potholes,Call Center,1,DPW - Street Maintenance,Arlington,3.0,16.0,42003561600.0,3.0,16.0,3.0,4-8,-79.9717415730163,40.4155715370611,EXACT
710,150661.0,2017-05-04T08:36:00,Potholes,Call Center,1,DPW - Street Maintenance,Arlington,3.0,16.0,42003561600.0,3.0,16.0,3.0,4-8,-79.98022490000001,40.414299799999995,EXACT
711,165091.0,2017-06-26T15:12:00,City Facility,Control Panel,1,DPW - Facilities,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.03021209999999,40.476239,EXACT
712,116937.0,2016-11-17T14:50:00,Abandoned Vehicle (parked on street),Call Center,1,Police - AVU,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.04621192543759,40.482568837520496,APPROXIMATE
713,163867.0,2017-06-21T12:15:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Squirrel Hill North,8.0,14.0,42003140300.0,3.0,14.0,4.0,2-18,-79.9141523920307,40.446125376873,EXACT
714,157448.0,2017-05-30T11:33:00,Overgrowth,Control Panel,1,DPW - Street Maintenance,Summer Hill,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.010148,40.4884602,EXACT
715,154504.0,2017-05-17T16:15:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.03903979629509,40.477691855432504,EXACT
716,103716.0,2016-09-12T16:40:00,Potholes,Call Center,1,DPW - Street Maintenance,Lincoln Place,5.0,31.0,42003310200.0,3.0,31.0,4.0,4-20,-79.917641,40.366457399999994,EXACT
717,163431.0,2017-06-20T10:19:00,Tree Fallen Across Road,Control Panel,1,DPW - Street Maintenance,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0294068,40.4703836,EXACT
718,165699.0,2017-06-28T10:21:00,"Catch Basin, Clogged",Control Panel,1,Pittsburgh Water and Sewer Authority,Spring Garden,1.0,26.0,42003428200.0,1.0,26.0,1.0,1-11,-79.9891092,40.4766883,EXACT
719,152861.0,2017-05-11T14:18:00,City Source (CDBG),Call Center,1,"City Source Associates, Inc.",Marshall-Shadeland,1.0,27.0,42003270400.0,1.0,27.0,1.0,1-9,-80.0284994791861,40.4656467951993,APPROXIMATE
720,154430.0,2017-05-17T13:55:00,Potholes,Website,1,DPW - Street Maintenance,Friendship,7.0,8.0,42003080700.0,2.0,8.0,5.0,3-23,-79.9340715,40.4625245,EXACT
721,159352.0,2017-06-05T14:58:00,"Overgrowth, Parks",Control Panel,1,DPW - Park Maintenance,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.019084183605,40.4935645805457,APPROXIMATE
722,157444.0,2017-05-30T11:31:00,"Overgrowth, Parks",Control Panel,1,DPW - Park Maintenance,Perry North,1.0,26.0,42003980400.0,1.0,26.0,1.0,1-15,-80.0201330856322,40.480215331744496,APPROXIMATE
723,162284.0,2017-06-15T13:36:00,"City Steps, Need Repaired",Control Panel,1,DOMI - Streets,Brookline,4.0,32.0,42003320600.0,5.0,32.0,6.0,4-25,-79.997396,40.393,EXACT
724,156048.0,2017-05-23T14:39:00,"Traffic or Pedestrian Signal, Repair",Control Panel,1,DOMI - TrafficShop,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0189657,40.491042799999995,EXACT
725,74092.0,2016-05-31T13:05:00,Maintenance Issue,Call Center,1,DOMI - TrafficShop,Perry North,1.0,26.0,42003980400.0,1.0,26.0,1.0,1-15,-80.01973372934879,40.480386189951,APPROXIMATE
726,143655.0,2017-04-06T09:26:00,Litter,Call Center,1,DPW - Street Maintenance,Northview Heights,1.0,26.0,42003260900.0,1.0,26.0,1.0,1-13,-80.000508,40.474162799999995,EXACT
727,145537.0,2017-04-17T06:41:00,Potholes,Website,1,DPW - Street Maintenance,East Liberty,7.0,8.0,42003111500.0,2.0,8.0,5.0,3-11,-79.92974281311041,40.4590787373441,EXACT
728,162418.0,2017-06-15T17:46:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320400.0,5.0,32.0,3.0,4-23,-79.99054354232791,40.3797068785601,EXACT
729,164528.0,2017-06-23T12:49:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.99736259999999,40.4431054,EXACT
730,122025.0,2016-12-20T11:59:00,Utility Cut - Other,Call Center,1,DOMI - Permits,Allegheny Center,1.0,22.0,42003562700.0,1.0,22.0,1.0,1-21,-80.0145458,40.453962100000005,EXACT
731,161669.0,2017-06-13T18:37:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0105338,40.4833498,EXACT
732,164317.0,2017-06-22T15:46:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Beltzhoover,3.0,18.0,42003562400.0,5.0,18.0,3.0,4-16,-80.0046122,40.4200935,EXACT
733,163642.0,2017-06-20T16:17:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Sheraden,2.0,20.0,42003562500.0,5.0,20.0,6.0,1-16,-80.0497647,40.455960600000004,EXACT
734,163519.0,2017-06-20T12:21:00,Utility Pole,Call Center,1,DOMI - Permits,North Oakland,8.0,4.0,42003040400.0,3.0,4.0,4.0,2-7,-79.95271729999999,40.448362599999996,EXACT
735,151038.0,2017-05-05T08:05:00,Potholes,Call Center,1,DPW - Street Maintenance,Mt. Oliver,3.0,16.0,42003561700.0,3.0,16.0,3.0,4-8,-79.97949770000001,40.4102941,EXACT
736,162786.0,2017-06-16T17:11:00,PWSA Billing or Shut Off,Call Center,1,Pittsburgh Water and Sewer Authority,Lincoln-Lemington-Belmar,9.0,12.0,42003561900.0,2.0,12.0,5.0,3-18,-79.8924484389794,40.4669773796751,APPROXIMATE
737,161227.0,2017-06-12T13:05:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-2,-79.9922478,40.4289893,EXACT
738,161338.0,2017-06-12T18:08:00,Wires,Call Center,1,DOMI - Permits,West Oakland,6.0,4.0,42003051000.0,3.0,4.0,4.0,2-10,-79.97057099999999,40.439613,EXACT
739,162546.0,2017-06-16T09:28:00,Tree Removal,Call Center,1,DPW - Forestry Division,Squirrel Hill South,5.0,14.0,42003141400.0,3.0,14.0,4.0,2-15,-79.9201583,40.4231323,EXACT
740,162475.0,2017-06-16T07:55:00,Tree Removal,Call Center,1,DPW - Forestry Division,Elliott,2.0,20.0,42003562600.0,5.0,20.0,6.0,1-17,-80.0422213,40.4424171,EXACT
741,162728.0,2017-06-16T14:25:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,Overbrook,4.0,32.0,42003320400.0,5.0,32.0,3.0,4-25,-79.9948598,40.3849864,EXACT
742,161926.0,2017-06-14T12:30:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Beechview,4.0,19.0,42003192000.0,5.0,19.0,6.0,4-28,-80.03001040000001,40.4039066,EXACT
743,144713.0,2017-04-11T13:27:00,Vacant Building,Call Center,1,"Permits, Licenses and Inspections",Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.010713,40.480925,EXACT
744,10830.0,2015-06-25T11:53:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Brookline,4.0,32.0,42003320600.0,5.0,32.0,6.0,4-26,-80.009956,40.393285,EXACT
745,162389.0,2017-06-15T16:10:00,Utility Pole,Call Center,1,DOMI - Permits,Bloomfield,7.0,9.0,42003090300.0,2.0,9.0,5.0,3-6,-79.95573040000001,40.464929,EXACT
746,161648.0,2017-06-13T18:12:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Glen Hazel,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-13,-79.930621,40.4061511,EXACT
747,161653.0,2017-06-13T18:17:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,Squirrel Hill South,5.0,14.0,42003140800.0,3.0,14.0,4.0,2-21,-79.9182274,40.4322827,EXACT
748,161592.0,2017-06-13T15:38:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,South Oakland,3.0,4.0,42003040900.0,3.0,4.0,4.0,2-11,-79.9534385,40.4297106,EXACT
749,161546.0,2017-06-13T14:04:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Lincoln-Lemington-Belmar,9.0,12.0,42003561900.0,2.0,12.0,5.0,3-18,-79.8888681564835,40.4677827827338,EXACT
750,161667.0,2017-06-13T18:35:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Beechview,4.0,19.0,42003192000.0,5.0,19.0,6.0,4-26,-80.0262516,40.3983235,EXACT
751,161650.0,2017-06-13T18:14:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-24,-79.98532759999999,40.4287771,EXACT
752,161634.0,2017-06-13T17:11:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Squirrel Hill South,5.0,14.0,42003140800.0,3.0,14.0,4.0,2-21,-79.9228808,40.4360277,EXACT
753,161072.0,2017-06-12T09:34:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Shadyside,8.0,7.0,42003070900.0,2.0,7.0,4.0,3-22,-79.9409402,40.451298799999996,EXACT
754,161761.0,2017-06-14T08:57:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Arlington,3.0,16.0,42003561600.0,3.0,16.0,3.0,4-8,-79.9716026,40.41595,EXACT
755,161655.0,2017-06-13T18:19:00,Wires,Call Center,1,DOMI - Permits,Squirrel Hill South,5.0,14.0,42003140800.0,3.0,14.0,4.0,2-21,-79.9182274,40.4322827,EXACT
756,161603.0,2017-06-13T15:57:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,South Oakland,3.0,4.0,42003980800.0,3.0,4.0,4.0,2-2,-79.9592397,40.4311765,EXACT
757,147720.0,2017-04-24T14:02:00,Potholes,Call Center,1,DPW - Street Maintenance,Bloomfield,7.0,9.0,42003090300.0,2.0,9.0,5.0,3-6,-79.9558676,40.464367200000005,EXACT
758,158941.0,2017-06-02T18:25:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Greenfield,5.0,15.0,42003151700.0,3.0,15.0,4.0,2-15,-79.9286413,40.4232126,EXACT
759,161437.0,2017-06-13T10:43:00,Tree Removal,Call Center,1,DPW - Forestry Division,Elliott,2.0,20.0,42003562600.0,5.0,20.0,6.0,1-17,-80.0422213,40.4424171,EXACT
760,87790.0,2016-07-13T15:12:00,Abandoned Vehicle (parked on street),Control Panel,1,Police - AVU,South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.9760621967785,40.4207027587481,APPROXIMATE
